NO,SAMPLE_ID,식품코드,DB군,식품명,연도,지역 / 제조사,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎),콜레스테롤(㎎),총 포화 지방산(g),트랜스 지방산(g),성분표출처
1,D000006-94-AVG,D000006,음식,꿩불고기,2019,충주,500,368.8,33.5,8.5,39.7,16.9,1264.31,106.18,1.9,0.1,외식영양성분자료집 통합본(2012-2017년)
2,D000007-ZZ-AVG,D000007,음식,닭갈비,2019,전국(대표),400,595.61,45.9,25.8,44.9,21.2,1535.83,193.4,6,0.2,외식영양성분자료집 통합본(2012-2017년)
3,D000008-66-AVG,D000008,음식,닭갈비,2019,춘천,300,558.47,45.5,31.6,23.1,8.5,1016.94,217.67,11.3,0.3,외식영양성분자료집 통합본(2012-2017년)
4,D000009-ZZ-AVG,D000009,음식,닭꼬치,2019,전국(대표),70,176.72,11.56,8.57,13.35,3.15,286.91,31.44,2.32,0.04,외식영양성분자료집 통합본(2012-2017년)
5,D000010-ZZ-AVG,D000010,음식,더덕구이,2019,전국(대표),100,184,3.1,5.2,31.1,11.6,743.37,0.12,0.8,0,외식영양성분자료집 통합본(2012-2017년)
6,D000012-95-AVG,D000012,음식,돼지갈비,2019,서울특별시 마포구,100,240.32,19.5,14.4,8.1,4.5,404.66,49.34,4.7,0.1,외식영양성분자료집 통합본(2012-2017년)
7,D000016-96-AVG,D000016,음식,불고기,2019,광양,150,395.29,34.4,25.2,7.8,7.9,560.71,68.85,6.6,0.4,외식영양성분자료집 통합본(2012-2017년)
8,D000017-05-AVG,D000017,음식,붕장어소금구이,2019,고흥,100,296.54,26,16.2,11.6,0.4,124.75,167.07,3.6,0.2,외식영양성분자료집 통합본(2012-2017년)
9,D000020-ZZ-AVG,D000020,음식,소양념갈비구이,2019,전국(대표),300,989.15,60.1,71.6,26.2,13.9,1378.45,186.63,27.2,3.5,외식영양성분자료집 통합본(2012-2017년)
10,D000021-97-AVG,D000021,음식,양념왕갈비,2019,수원,150,480.81,27.1,35.3,13.7,6.8,548.76,58.52,13,2.2,외식영양성분자료집 통합본(2012-2017년)
11,D000022-ZZ-AVG,D000022,음식,양념장어구이,2019,전국(대표),150,433.35,30.77,30.56,8.8,4.18,704.64,215.24,7.1,0.27,외식영양성분자료집 통합본(2012-2017년)
